ch_no,Electrode,x,y,z
1,FC5,-78,30,27
2,FC3,-59,31,56
3,FC1,-33,33,74
4,FCz,0,34,81
5,FC2,33,33,74
6,FC4,59,31,56
7,FC6,78,30,27
8,C5,-82,0,31
9,C3,-63,0,61
10,C1,-34,0,81
11,Cz,0,0,88
12,C2,34,0,81
13,C4,63,0,61
14,C6,82,0,31
15,CP5,-78,-30,27
16,CP3,-59,-31,56
17,CP1,-33,-33,74
18,CPz,0,-34,81
19,CP2,33,-33,74
20,CP4,59,-31,56
21,CP6,78,-30,27
22,Fp1,-27,83,-3
23,Fpz,0,87,-3
24,Fp2,27,83,-3
25,AF7,-51,71,-3
26,AF3,-36,76,24
27,AFz,0,82,31
28,AF4,36,76,24
29,AF8,51,71,-3
30,F7,-71,51,-3
31,F5,-64,55,23
32,F3,-48,59,44
33,F1,-25,62,56
34,Fz,0,63,61
35,F2,25,62,56
36,F4,48,59,44
37,F6,64,55,23
38,F8,71,51,-3
39,FT7,-83,27,-3
40,FT8,83,27,-3
41,T7,-87,0,-3
42,T8,87,0,-3
43,T9,-79,0,-37
44,T10,79,0,-37
45,TP7,-83,-27,-3
46,TP8,83,-27,-3
47,P7,-71,-51,-3
48,P5,-64,-55,23
49,P3,-48,-59,44
50,P1,-25,-62,56
51,Pz,0,-63,61
52,P2,25,-62,56
53,P4,48,-59,44
54,P6,64,-55,23
55,P8,71,-51,-3
56,PO7,-51,-71,-3
57,PO3,-36,-76,24
58,POz,0,-82,31
59,PO4,36,-76,24
60,PO8,51,-71,-3
61,O1,-27,-83,-3
62,Oz,0,-87,-3
63,O2,27,-83,-3
64,Iz ,0,-79,-37
